Deutschland;männlich;weiblich
      Stendal, Landkreis;54172;56119
      Wittenberg, Landkreis;60893;62995
Thueringen;1051482;1075364
      Erfurt, kreisfreie Stadt;104205;110764
      Gera, kreisfreie Stadt;45174;48460
      Jena, kreisfreie Stadt;55301;55890
      Suhl, kreisfreie Stadt;18339;18670
      Weimar, kreisfreie Stadt;31624;33996
      Eichsfeld, Landkreis;50150;49941
      Nordhausen, Landkreis;40782;41662
      Wartburgkreis;79425;80114
      Unstrut-Hainich-Kreis;50688;51568
      Kyffhäuserkreis;36612;37078
      Schmalkalden-Meiningen, Landkreis;61977;61962
      Gotha, Landkreis;66997;67944
      Sömmerda, Landkreis;34846;34800
      Hildburghausen, Landkreis;31002;30924
      Ilm-Kreis;53798;52978
      Weimarer Land, Landkreis;41156;42023
      Sonneberg, Landkreis;28093;28829
      Saalfeld-Rudolstadt, Landkreis;49926;51568
      Saale-Holzland-Kreis;41328;41906
      Saale-Orla-Kreis;39306;39872
      Greiz, Landkreis;47487;48894
      Altenburger Land, Landkreis;43266;45521
