"maennlich","weiblich","region"
74516,74606,"      Bamberg, Landkreis"
52779,51923,"      Bayreuth, Landkreis"
43996,43107,"      Coburg, Landkreis"
59547,58401,"      Forchheim, Landkreis"
48282,46307,"      Hof, Landkreis"
33595,32798,"      Kronach, Landkreis"
36454,35199,"      Kulmbach, Landkreis"
34139,33189,"      Lichtenfels, Landkreis"
36883,35123,"      Wunsiedel i.Fichtelgebirge, Landkreis"
916247,889544,"    Mittelfranken, Regierungsbezirk"
22027,20194,"      Ansbach, kreisfreie Stadt"
58622,57940,"      Erlangen, kreisfreie Stadt"
67085,64348,"      Fürth, kreisfreie Stadt"
267776,255250,"      Nürnberg, kreisfreie Stadt"
21117,20110,"      Schwabach, kreisfreie Stadt"
94073,94550,"      Ansbach, Landkreis"
71017,69977,"      Erlangen-Höchstadt, Landkreis"
61541,58382,"      Fürth, Landkreis"
87801,84864,"      Nürnberger Land, Landkreis"
51504,51799,"      Neustadt a.d.Aisch-Bad Windsheim, Landkreis"
64971,63723,"      Roth, Landkreis"
48713,48407,"      Weißenburg-Gunzenhausen, Landkreis"
673900,660476,"    Unterfranken, Regierungsbezirk"
37284,35160,"      Aschaffenburg, kreisfreie Stadt"
27634,27041,"      Schweinfurt, kreisfreie Stadt"
66802,61008,"      Würzburg, kreisfreie Stadt"
89348,87610,"      Aschaffenburg, Landkreis"
53090,51477,"      Bad Kissingen, Landkreis"
40387,39954,"      Rhön-Grabfeld, Landkreis"
42358,42626,"      Haßberge, Landkreis"
46441,46806,"      Kitzingen, Landkreis"
65332,64503,"      Miltenberg, Landkreis"
63851,63281,"      Main-Spessart, Landkreis"
57937,59107,"      Schweinfurt, Landkreis"
83436,81903,"      Würzburg, Landkreis"
978073,967905,"    Schwaben, Regierungsbezirk"
152678,148355,"      Augsburg, kreisfreie Stadt"
23209,22583,"      Kaufbeuren, kreisfreie Stadt"
35387,34669,"      Kempten (Allgäu), kreisfreie Stadt"
23210,22647,"      Memmingen, kreisfreie Stadt"
68954,68380,"      Aichach-Friedberg, Landkreis"
131952,129390,"      Augsburg, Landkreis"
49483,49626,"      Dillingen a.d.Donau, Landkreis"
64517,65595,"      Günzburg, Landkreis"
90786,89639,"      Neu-Ulm, Landkreis"
42272,41121,"      Lindau (Bodensee), Landkreis"
73016,72362,"      Ostallgäu, Landkreis"
74235,75833,"      Unterallgäu, Landkreis"
67551,69586,"      Donau-Ries, Landkreis"
80823,78119,"      Oberallgäu, Landkreis"
505565,487101,"Saarland"
168218,162630,"      Saarbrücken, Regionalverband"
91514,90445,"      Saarbrücken, Landeshauptstadt"
52873,51552,"      Merzig-Wadern, Landkreis"
67219,65064,"      Neunkirchen, Landkreis"
99839,95910,"      Saarlouis, Landkreis"
73227,69192,"      Saarpfalz-Kreis"
44189,42753,"      St. Wendel, Landkreis"
1912055,1843196,"Berlin"
1307984,1265151,"Brandenburg"
37503,36106,"      Brandenburg an der Havel, kreisfreie Stadt"
50980,48535,"      Cottbus, kreisfreie Stadt"
30007,28223,"      Frankfurt (Oder), kreisfreie Stadt"
96308,89442,"      Potsdam, kreisfreie Stadt"
97341,94508,"      Barnim, Landkreis"
90455,88512,"      Dahme-Spreewald, Landkreis"
50891,50011,"      Elbe-Elster, Landkreis"
85861,83473,"      Havelland, Landkreis"
101213,99079,"      Märkisch-Oderland, Landkreis"
111315,107236,"      Oberhavel, Landkreis"
55256,53007,"      Oberspreewald-Lausitz, Landkreis"
93063,89338,"      Oder-Spree, Landkreis"
50288,49583,"      Ostprignitz-Ruppin, Landkreis"
112789,109781,"      Potsdam-Mittelmark, Landkreis"
38420,37625,"      Prignitz, Landkreis"
57421,55072,"      Spree-Neiße, Landkreis"
88526,88122,"      Teltow-Fläming, Landkreis"
60347,57498,"      Uckermark, Landkreis"
828683,799695,"Mecklenburg-Vorpommern"
107120,102800,"      Rostock, kreisfreie Stadt"
51393,47203,"      Schwerin, kreisfreie Stadt"
132350,127218,"      Mecklenburgische Seenplatte, Landkreis"
111401,109406,"      Landkreis Rostock"
116527,111156,"      Vorpommern-Rügen, Landkreis"
80815,79473,"      Nordwestmecklenburg, Landkreis"
121630,115725,"      Vorpommern-Greifswald, Landkreis"
107447,106714,"      Ludwigslust-Parchim, Landkreis"
2075615,2010537,"Sachsen"
718363,693193,"    Chemnitz, Statistische Region"
125885,122678,"      Chemnitz, kreisfreie Stadt"
167859,160991,"      Erzgebirgskreis"
151416,149223,"      Mittelsachsen, Landkreis"
114178,108488,"      Vogtlandkreis"
159025,151813,"      Zwickau, Landkreis"
810243,788007,"    Dresden, Statistische Region"
283973,279338,"      Dresden, kreisfreie Stadt"
150729,146982,"      Bautzen, Landkreis"
127649,122032,"      Görlitz, Landkreis"
122952,118391,"      Meißen, Landkreis"
124940,121264,"      Sächsische Schweiz-Osterzgebirge, Landkreis"
547009,529337,"    Leipzig, Statistische Region"
313352,302741,"      Leipzig, kreisfreie Stadt"
132859,127570,"      Leipzig, Landkreis"
100798,99026,"      Nordsachsen, Landkreis"
1112932,1073711,"Sachsen-Anhalt"
41146,38509,"      Dessau-Roßlau, kreisfreie Stadt"
125248,116835,"      Halle (Saale), kreisfreie Stadt"
121635,117729,"      Magdeburg, kreisfreie Stadt, Landeshauptstadt"
41415,41042,"      Altmarkkreis Salzwedel"
80264,76971,"      Anhalt-Bitterfeld, Landkreis"
86010,85383,"      Börde, Landkreis"
90012,87200,"      Burgenlandkreis"
106927,103454,"      Harz, Landkreis"
45402,44854,"      Jerichower Land, Landkreis"
67118,64916,"      Mansfeld-Südharz, Landkreis"
93108,90866,"      Saalekreis"
95533,90887,"      Salzlandkreis"
56119,54172,"      Stendal, Landkreis"
62995,60893,"      Wittenberg, Landkreis"
1075364,1051482,"Thueringen"
110764,104205,"      Erfurt, kreisfreie Stadt"
48460,45174,"      Gera, kreisfreie Stadt"
55890,55301,"      Jena, kreisfreie Stadt"
18670,18339,"      Suhl, kreisfreie Stadt"
33996,31624,"      Weimar, kreisfreie Stadt"
49941,50150,"      Eichsfeld, Landkreis"
41662,40782,"      Nordhausen, Landkreis"
80114,79425,"      Wartburgkreis"
51568,50688,"      Unstrut-Hainich-Kreis"
37078,36612,"      Kyffhäuserkreis"
61962,61977,"      Schmalkalden-Meiningen, Landkreis"
67944,66997,"      Gotha, Landkreis"
34800,34846,"      Sömmerda, Landkreis"
30924,31002,"      Hildburghausen, Landkreis"
52978,53798,"      Ilm-Kreis"
42023,41156,"      Weimarer Land, Landkreis"
28829,28093,"      Sonneberg, Landkreis"
51568,49926,"      Saalfeld-Rudolstadt, Landkreis"
41906,41328,"      Saale-Holzland-Kreis"
39872,39306,"      Saale-Orla-Kreis"
48894,47487,"      Greiz, Landkreis"
45521,43266,"      Altenburger Land, Landkreis"
